SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Townhouse,2457 Diane Marie Way,SANTA CLARA,CA,95050,799000,3,2.5,SANTA CLARA,1768,1416,1987,2,Garage,,Sold,,,,,799000,2015-07-20,"799,000",http://www.redfin.com/CA/Santa-Clara/2457-Diane-Marie-Way-95050/home/1400252,MLSListings Inc. (MLSLI),ML81466621,Metro Real Estate Services,N,Y,37.342075,-121.968331,FALSE
Past Sale,Single Family Residential,3012 Ryan Ave,SANTA CLARA,CA,95051,799000,3,2,SANTA CLARA,1329,6840,1956,2,Garage,,Sold,,,,,799000,2015-07-28,"1,050,000",http://www.redfin.com/CA/Santa-Clara/3012-Ryan-Ave-95051/home/1105036,MLSListings Inc. (MLSLI),ML81470559,"MRL Group, Inc.",N,Y,37.335233,-121.983771,FALSE
Past Sale,Single Family Residential,751 Woodhams Rd,SANTA CLARA,CA,95051,1075000,3,2,SANTA CLARA,1479,6000,1961,2,Garage,,Sold,,,,,1075000,2015-07-09,"1,215,000",http://www.redfin.com/CA/Santa-Clara/751-Woodhams-Rd-95051/home/1579704,MLSListings Inc. (MLSLI),ML81470011,"Erealty & Loans, Inc",N,Y,37.336408,-121.979223,FALSE
Past Sale,Single Family Residential,675 Barto St,Santa Clara,CA,95051,,4,2,95051,1092,,1953,,,,,,,,,,2015-06-17,"1,024,000",http://www.redfin.com/CA/Santa-Clara/675-Barto-St-95051/home/1724913,,,,N,Y,37.334801,-121.982479,
Past Sale,Condo/Coop,"980 Kiely Blvd, Suite#205",SANTA CLARA,CA,95051,315000,1,1,SANTA CLARA,622,696,1971,1,Garage,,Sold,,,,2015-04-29,329000,2015-06-22,"300,000",http://www.redfin.com/CA/Santa-Clara/980-Kiely-Blvd-95051/unit-205/home/739301,MLSListings Inc. (MLSLI),ML81456054,Imperial Properties,N,Y,37.343308,-121.980085,FALSE
Past Sale,Townhouse,2532 Homestead Rd,Santa Clara,CA,95051,,2,2,95051,1615,,1979,,,,,,,,,,2015-06-18,"780,000",http://www.redfin.com/CA/Santa-Clara/2532-Homestead-Rd-95051/home/743167,,,,N,Y,37.339856,-121.970355,
Past Sale,Single Family Residential,2495 Armstrong Pl,SANTA CLARA,CA,95050,899000,3,2,SANTA CLARA,1618,6672,1957,2,Garage,,Sold,,,,,899000,2015-07-31,"965,000",http://www.redfin.com/CA/Santa-Clara/2495-Armstrong-Pl-95050/home/982551,MLSListings Inc. (MLSLI),ML81467372,Keller Williams Realty-Silicon Valley,N,Y,37.340651,-121.968566,FALSE
Past Sale,Condo/Coop,980 Kiely Blvd #310,SANTA CLARA,CA,95051,315000,1,1,SANTA CLARA,622,436,1971,1,Garage,,Sold,,,,,299000,2015-07-28,"315,000",http://www.redfin.com/CA/Santa-Clara/980-Kiely-Blvd-95051/unit-310/home/1199409,MLSListings Inc. (MLSLI),ML81464559,Intero Real Estate Services,N,Y,37.343308,-121.980085,FALSE
Past Sale,Townhouse,215 Saratoga Ct,SANTA CLARA,CA,95050,695000,2,2.5,SANTA CLARA,1315,1412,1987,1,Garage,,Sold,,,,,695000,2015-06-30,"775,000",http://www.redfin.com/CA/Santa-Clara/215-Saratoga-Ct-95050/home/1804490,MLSListings Inc. (MLSLI),ML81467031,Intero Real Estate Services,N,Y,37.328093,-121.964822,FALSE
Past Sale,Single Family Residential,281 Serena Way,SANTA CLARA,CA,95051,949000,3,2,SANTA CLARA,1907,9206,1955,2,Garage,,Sold,,,,,949000,2015-07-28,"1,300,000",http://www.redfin.com/CA/Santa-Clara/281-Serena-Way-95051/home/1791460,MLSListings Inc. (MLSLI),ML81467843,"Jeanene Mathews, Broker",N,Y,37.323588,-121.973785,FALSE
Past Sale,Condo/Coop,830 Quince Ave #46,SANTA CLARA,CA,95051,449000,2,1.5,SANTA CLARA,954,500,1964,0,,,Sold,,,,,449000,2015-07-10,"525,000",http://www.redfin.com/CA/Santa-Clara/830-Quince-Ave-95051/unit-46/home/791050,MLSListings Inc. (MLSLI),ML81468346,KW Bay Area Estates,N,Y,37.3387175,-121.986446,FALSE
Past Sale,Single Family Residential,2964 Miles Dr,SANTA CLARA,CA,95051,998000,4,3,SANTA CLARA,2325,7100,1956,0,,,Sold,,,,,998000,2015-06-30,"1,060,000",http://www.redfin.com/CA/Santa-Clara/2964-Miles-Dr-95051/home/1774815,MLSListings Inc. (MLSLI),ML81465748,"Realty World-Kevin F. Garvey, Broker",N,Y,37.338626,-121.982535,FALSE
Past Sale,Single Family Residential,1061 Waterbird Way,Santa Clara,CA,95051,,3,2,95051,1378,,1961,,,,,,,,,,2015-06-16,"1,425,000",http://www.redfin.com/CA/Santa-Clara/1061-Waterbird-Way-95051/home/761280,,,,N,Y,37.346057,-121.998433,
Past Sale,Condo/Coop,1031 Alta Mira Dr Unit B,SANTA CLARA,CA,95051,468000,2,2,SANTA CLARA,1012,1768,1971,0,,,Sold,,,,,468000,2015-07-10,"580,000",http://www.redfin.com/CA/Santa-Clara/1031-Alta-Mira-Dr-95051/unit-B/home/1201030,MLSListings Inc. (MLSLI),ML81468484,Intero Real Estate Services,N,Y,37.346012,-121.993781,FALSE
Past Sale,Single Family Residential,953 Perreira Dr,SANTA CLARA,CA,95051,858000,4,2,SANTA CLARA,1844,6000,1961,2,Garage,,Sold,,,,,858000,2015-07-23,"858,000",http://www.redfin.com/CA/Santa-Clara/953-Perreira-Dr-95051/home/1645535,MLSListings Inc. (MLSLI),ML81496615,Sereno Group,N,Y,37.343232,-121.988058,FALSE
Past Sale,Single Family Residential,3505 Shafer Dr,SANTA CLARA,CA,95051,899000,3,2,SANTA CLARA,1166,5040,1954,2,Garage,,Sold,,,,,899000,2015-07-22,"989,000",http://www.redfin.com/CA/Santa-Clara/3505-Shafer-Dr-95051/home/1776437,MLSListings Inc. (MLSLI),ML81472350,Keller Williams Realty-Silicon Valley,N,Y,37.344488,-121.992346,FALSE
Past Sale,Single Family Residential,3382 Geneva Dr,SANTA CLARA,CA,95051,1349888,3,2,SANTA CLARA,1420,6300,1957,2,Garage,,Sold,,,,,1349888,2015-07-08,"1,500,000",http://www.redfin.com/CA/Santa-Clara/3382-Geneva-Dr-95051/home/1296946,MLSListings Inc. (MLSLI),ML81467522,Intero Real Estate Services,N,Y,37.329653,-121.991437,FALSE
