SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,1029 Blazingwood Dr,SUNNYVALE,CA,94089,798000,4,2,SUNNYVALE,1382,5354,1955,1,Garage,,Sold,,,,,798000,2016-01-20,"810,000",http://www.redfin.com/CA/Sunnyvale/1029-Blazingwood-Dr-94089/home/1842985,MLSListings Inc. (MLSLI),ML81522938,Pathmark Realty Corporation,N,Y,37.3946442,-121.9953653,FALSE
Past Sale,Single Family Residential,1676 Francolin Ter,Sunnyvale,CA,94087,,4,3,94087,1763,,2007,,,,,,,,,,2016-01-27,"1,550,000",http://www.redfin.com/CA/Sunnyvale/1676-Francolin-Ter-94087/home/12181084,,,,N,Y,37.338303,-122.022211,
Past Sale,Single Family Residential,1478 Teal Dr,SUNNYVALE,CA,94087,1088000,4,2,SUNNYVALE,1568,6993,1961,2,Garage,,Sold,,,,,1088000,2016-01-20,"1,440,000",http://www.redfin.com/CA/Sunnyvale/1478-Teal-Dr-94087/home/663915,MLSListings Inc. (MLSLI),ML81534634,Alain Pinel Realtors,N,Y,37.3458309,-122.001915,FALSE
Past Sale,Single Family Residential,1046 Bradford Dr,SUNNYVALE,CA,94089,788888,4,1,SUNNYVALE,1260,5250,1952,1,Garage,,Sold,,,,,788888,2016-01-26,"830,000",http://www.redfin.com/CA/Sunnyvale/1046-Bradford-Dr-94089/home/1601413,MLSListings Inc. (MLSLI),ML81514044,Century 21 M&M and Associates,N,Y,37.4015429,-122.025732,FALSE
Past Sale,Single Family Residential,1617 Wright Ave,Sunnyvale,CA,94087,,4,2,94087,1770,,1958,,,,,,,,,,2016-01-13,"1,540,000",http://www.redfin.com/CA/Sunnyvale/1617-Wright-Ave-94087/home/1815156,,,,N,Y,37.340387,-122.055235,
Past Sale,Single Family Residential,577 Cherrywood Dr,SUNNYVALE,CA,94087,1750000,4,3,SUNNYVALE,1786,4679,1995,2,Garage,,Sold,,,,,1750000,2016-01-29,"1,700,000",http://www.redfin.com/CA/Sunnyvale/577-Cherrywood-Dr-94087/home/1137918,MLSListings Inc. (MLSLI),ML81533103,Intero Real Estate Services,N,Y,37.3643471,-122.0359549,FALSE
Past Sale,Single Family Residential,1556 Magpie Ln,SUNNYVALE,CA,94087,1498000,4,2,SUNNYVALE,1525,6621,1961,2,Garage,,Sold,,,,,1498000,2015-09-21,"1,590,000",http://www.redfin.com/CA/Sunnyvale/1556-Magpie-Ln-94087/home/762590,MLSListings Inc. (MLSLI),ML81501232,Intero Real Estate Services,N,Y,37.34347,-122.015842,FALSE
Past Sale,Single Family Residential,932 Marion Way,SUNNYVALE,CA,94087,1888000,5,4.5,SUNNYVALE,3111,8649,2015,2,Garage,,Sold,,,,,1888000,2015-12-04,"1,850,000",http://www.redfin.com/CA/Sunnyvale/932-Marion-Way-94087/home/829175,MLSListings Inc. (MLSLI),ML81513775,Keller Williams Realty - Cupertino,N,Y,37.345188,-122.013988,FALSE
Past Sale,Single Family Residential,1650 Meadowlark Ln,SUNNYVALE,CA,94087,1438000,4,2.5,SUNNYVALE,2188,6567,1958,2,Garage,,Sold,,,,,1438000,2015-12-15,"1,428,000",http://www.redfin.com/CA/Sunnyvale/1650-Meadowlark-Ln-94087/home/1226277,MLSListings Inc. (MLSLI),ML81517895,Keller Williams Realty - Cupertino,N,Y,37.3402198,-122.0130887,FALSE
Past Sale,Single Family Residential,798 S Wolfe Rd,SUNNYVALE,CA,94086,1249800,4,2,SUNNYVALE,2108,6599,1964,2,Garage,,Sold,,,,,1199900,2015-12-31,"1,249,800",http://www.redfin.com/CA/Sunnyvale/798-S-Wolfe-Rd-94086/home/1240900,MLSListings Inc. (MLSLI),ML81497856,Intero Real Estate Services,N,Y,37.362674,-122.013852,FALSE
Past Sale,Single Family Residential,832 Lusterleaf Dr,SUNNYVALE,CA,94086,1348000,4,2.5,SUNNYVALE,2204,6634,1966,2,Garage,,Sold,,,,,1348000,2015-12-30,"1,505,000",http://www.redfin.com/CA/Sunnyvale/832-Lusterleaf-Dr-94086/home/1240694,MLSListings Inc. (MLSLI),ML81534633,Keller Williams Realty - Cupertino,N,Y,37.361568,-122.014838,FALSE
Past Sale,Multi-Family (2-4 Unit),232-234 W California Ave,SUNNYVALE,CA,94086,1088000,4,,SUNNYVALE,1701,10317,1958,4,Garage,,Sold,,,,,1088000,2015-10-08,"1,100,000",http://www.redfin.com/CA/Sunnyvale/234-W-California-AVE-94086/home/97671320,MLSListings Inc. (MLSLI),ML81513599,DNH Realty Solutions,N,Y,37.3811199,-122.0307088,FALSE
Past Sale,Multi-Family (2-4 Unit),1268 Gainsborough Dr,Sunnyvale,CA,94087,,,,94087,2900,,1966,,,,,,,,,,2015-10-09,"1,700,000",http://www.redfin.com/CA/Sunnyvale/1268-Gainsborough-Dr-94087/home/644468,,,,N,Y,37.353501,-122.030098,
