SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
New Construction Plan,Single Family Residential,Viewpoint Plan C,Mountain View,CA,94043,1300000,3,3,Viewpoint,1771,,,2,Garage,121,Active,,,,2016-06-04,1330000,,,http://www.redfin.com/CA/Mountain-View/Viewpoint/Viewpoint-Plan-C/home/103776451,Builder Digital eXperience (BDX),Plan-1199830,NewHomeSource.com,N,Y,37.405412,-122.06447,FALSE
MLS Listing,Single Family Residential,340 Mansfield Dr,MOUNTAIN VIEW,CA,94040,3185000,5,3,MOUNTAIN VIEW,2590,8263,2011,2,Garage,80,Active,,,,2016-04-21,3385000,,,http://www.redfin.com/CA/Mountain-View/340-Mansfield-Dr-94040/home/41395790,MLSListings Inc. (MLSLI),ML81576730,KW Bay Area Estates,N,Y,37.3649201,-122.0756206,FALSE
MLS Listing,Multi-Family (2-4 Unit),1681 latham St,MOUNTAIN VIEW,CA,94041,2200000,4,,MOUNTAIN VIEW,2120,5700,1947,1,Garage,299,Active,,,,2015-11-03,2195000,1991-07-31,"315,000",http://www.redfin.com/CA/Mountain-View/1681-Latham-St-94041/home/1722073,MLSListings Inc. (MLSLI),ML81500622,"Ronald K. Ikebe, Broker",N,Y,37.392574,-122.092293,FALSE
MLS Listing,Single Family Residential,1294 W Knickerbocker Dr,SUNNYVALE,CA,94087,1278000,3,2,SUNNYVALE,1274,8032,1953,2,Garage,39,Active,,,,,1278000,2008-05-15,"860,000",http://www.redfin.com/CA/Sunnyvale/1294-W-Knickerbocker-Dr-94087/home/28856029,MLSListings Inc. (MLSLI),ML81583695,Infohome Inc,N,Y,37.366916,-122.062975,FALSE
New Construction Plan,Single Family Residential,Viewpoint Plan B,Mountain View,CA,94043,1275000,3,2.5,Viewpoint,1753,,,2,Garage,121,Active,,,,2016-05-20,1290000,,,http://www.redfin.com/CA/Mountain-View/Viewpoint/Viewpoint-Plan-B/home/103776452,Builder Digital eXperience (BDX),Plan-1199829,NewHomeSource.com,N,Y,37.405412,-122.06447,FALSE
MLS Listing,Townhouse,427 Mountain Laurel Ct,MOUNTAIN VIEW,CA,94043,1199000,3,2.5,MOUNTAIN VIEW,1417,1346,1988,2,Garage,23,Active,,,,,1199000,2005-07-07,"728,000",http://www.redfin.com/CA/Mountain-View/427-Mountain-Laurel-Ct-94043/home/672682,MLSListings Inc. (MLSLI),ML81586714,"Thomas McCavitt, Broker",N,Y,37.400297,-122.081272,FALSE
MLS Listing,Single Family Residential,717 Alice Ave,MOUNTAIN VIEW,CA,94041,1299998,4,2,MOUNTAIN VIEW,1654,8934,1978,2,Garage,87,Active,,,,2016-05-16,1599998,1998-06-09,"449,000",http://www.redfin.com/CA/Mountain-View/717-Alice-Ave-94041/home/809725,MLSListings Inc. (MLSLI),ML81565691,Coldwell Banker,N,Y,37.382401,-122.066259,FALSE
MLS Listing,Condo/Coop,2061 Colony St,MOUNTAIN VIEW,CA,94043,1506990,4,3.5,MOUNTAIN VIEW,1863,1000,2016,2,Garage,62,Active,,,,,1498990,,,http://www.redfin.com/CA/Mountain-View/2061-Colony-St-94043/home/104484317,MLSListings Inc. (MLSLI),ML81579665,"Bair Properties, Inc.",N,Y,37.4159347,-122.0922334,FALSE
MLS Listing,Condo/Coop,2063 Colony St,MOUNTAIN VIEW,CA,94043,1501990,4,3.5,MOUNTAIN VIEW,1863,1000,2016,2,Garage,62,Active,,,,,1491990,,,http://www.redfin.com/CA/Mountain-View/2063-Colony-St-94043/home/104484358,MLSListings Inc. (MLSLI),ML81579667,"Bair Properties, Inc.",N,Y,37.4159355,-122.0922475,FALSE
New Construction Home,Single Family Residential,Residence 3,Mountain View,CA,94043,1789888,4,3.5,Classics at Oro Loma,1795,,2016,2,Garage,99,Active,,,,,1789888,,,http://www.redfin.com/CA/Mountain-View/Residence-3-94043/home/104008873,Builder Digital eXperience (BDX),1209011,NewHomeSource.com,N,Y,37.408142,-122.091209,FALSE
New Construction Home,Single Family Residential,Residence 14,Mountain View,CA,94043,1593888,3,2.5,Classics at Oro Loma,1496,,2016,2,Garage,99,Active,,,,,1593888,,,http://www.redfin.com/CA/Mountain-View/Residence-14-94043/home/104008878,Builder Digital eXperience (BDX),1209017,NewHomeSource.com,N,Y,37.408142,-122.091209,FALSE
MLS Listing,Single Family Residential,777 Rustic Ln,MOUNTAIN VIEW,CA,94040,2250000,4,2.5,MOUNTAIN VIEW,2298,8000,1975,2,Garage,31,Active,,,,,2250000,2000-03-15,"395,000",http://www.redfin.com/CA/Mountain-View/777-Rustic-Ln-94040/home/1009649,MLSListings Inc. (MLSLI),ML81585090,Alain Pinel Realtors,N,Y,37.379717,-122.086668,FALSE
MLS Listing,Single Family Residential,143 Laurel Way,MOUNTAIN VIEW,CA,94040,1499000,3,2.5,MOUNTAIN VIEW,1339,2012,1996,1,Garage,16,Active,,,,2016-06-03,1600000,2013-07-10,"1,150,000",http://www.redfin.com/CA/Mountain-View/143-Laurel-Way-94040/home/2121422,MLSListings Inc. (MLSLI),ML81587674,D W Investment,N,Y,37.4051934,-122.1075554,FALSE
