SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Condo/Coop,577 Blackwood Ter,SUNNYVALE,CA,94086,1200000,3,3,SUNNYVALE,1802,2156,1999,2,Garage,32,Active,,,,,1088000,1999-06-25,"372,000",http://www.redfin.com/CA/Sunnyvale/577-Blackwood-Ter-94086/home/1868158,MLSListings Inc. (MLSLI),ML81584971,Bay One Real Estate Investment Corporation,N,Y,37.3679652,-122.0234777,FALSE
MLS Listing,Townhouse,344 Santa Diana Ter (Unable to map),SUNNYVALE,CA,94085,1168000,3,2.5,SUNNYVALE,1568,930,2016,2,Garage,18,Active,,,,,1168000,,,http://www.redfin.com/CA/Sunnyvale/344-Santa-Diana-Ter-94085/home/95957081,MLSListings Inc. (MLSLI),ML81587395,"Summerhill Brokerage, Inc.",N,Y,37.3818827,-122.0179236,FALSE
New Construction Plan,Single Family Residential,Plan 3,Sunnyvale,CA,94086,1072955,3,3.5,Sandalwood,1700,,,2,Garage,81,Active,,,,2016-04-27,1049990,,,http://www.redfin.com/CA/Sunnyvale/Sandalwood/Plan-3/home/104232852,DR Horton,Plan-262508,DR Horton,N,Y,37.373049,-122.015794,FALSE
MLS Listing,Condo/Coop,1172 La Rochelle Ter Unit C,SUNNYVALE,CA,94089,1120000,3,2.5,SUNNYVALE,1923,2448,1995,2,Garage,36,Active,,,,,1120000,2014-07-11,"875,000",http://www.redfin.com/CA/Sunnyvale/1172-La-Rochelle-Ter-94089/unit-C/home/1449099,MLSListings Inc. (MLSLI),ML81584275,Legend Real Estate & Finance,N,Y,37.4047359,-122.0114255,FALSE
MLS Listing,Single Family Residential,1294 W Knickerbocker Dr,SUNNYVALE,CA,94087,1278000,3,2,SUNNYVALE,1274,8032,1953,2,Garage,39,Active,,,,,1278000,2008-05-15,"860,000",http://www.redfin.com/CA/Sunnyvale/1294-W-Knickerbocker-Dr-94087/home/28856029,MLSListings Inc. (MLSLI),ML81583695,Infohome Inc,N,Y,37.366916,-122.062975,FALSE
New Construction Plan,Single Family Residential,Plan 6,Sunnyvale,CA,94086,1066198,3,3.5,Sandalwood,1683,,,2,Garage,81,Active,,,,2016-03-24,1064990,,,http://www.redfin.com/CA/Sunnyvale/Sandalwood/Plan-6/home/104232850,DR Horton,Plan-262510,DR Horton,N,Y,37.373049,-122.015794,FALSE
New Construction Plan,Townhouse,Arques Place - Residence 4B,Sunnyvale,CA,94085,1082089,3,3.5,Arques Place,1805,,,2,Garage,158,Active,,,,,1082089,,,http://www.redfin.com/CA/Sunnyvale/Arques-Place/Arques-Place-Residence-4B/home/102527934,NewHomeFeed,Plan-245794,NewHomeFeed,N,Y,37.382073,-122.017565,FALSE
New Construction Plan,Townhouse,Arques Place - Residence 2A,Sunnyvale,CA,94085,980000,3,5.5,Arques Place,1568,,,0,,158,Active,,,,,980000,,,http://www.redfin.com/CA/Sunnyvale/Arques-Place/Arques-Place-Residence-2A/home/102527936,NewHomeFeed,Plan-242075,NewHomeFeed,N,Y,37.382073,-122.017565,FALSE
MLS Listing,Single Family Residential,1273 Robbia Ct,SUNNYVALE,CA,94087,1448000,3,2,SUNNYVALE,1406,6552,1963,2,Garage,88,Active,,,,,1448000,2007-04-10,"936,000",http://www.redfin.com/CA/Sunnyvale/1273-Robbia-Ct-94087/home/1188002,MLSListings Inc. (MLSLI),ML81565524,Keller Williams Realty-Silicon Valley,N,Y,37.35244,-122.021969,FALSE
MLS Listing,Single Family Residential,566 Cypress Ave,SUNNYVALE,CA,94085,725000,3,2,SUNNYVALE,1247,5050,1952,1,Garage,5,Active,,,,,725000,1999-12-13,"120,000",http://www.redfin.com/CA/Sunnyvale/Cypress-Ave-94085/home/656078,MLSListings Inc. (MLSLI),ML81589314,First National Real Estate,N,Y,37.388211,-122.016942,FALSE
