SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Condo/Coop,550 Ortega Ave Unit A202,MOUNTAIN VIEW,CA,94040,900000,2,2.0,MOUNTAIN VIEW,1163,,1992,1,Garage,,Sold,,,,,900000,2015-12-11,975000.0,http://www.redfin.com/CA/Mountain-View/550-Ortega-Ave-94040/unit-A202/home/12172003,MLSListings Inc. (MLSLI),ML81521559,Intero Real Estate Services,N,Y,37.399132,-122.1062034,false
Past Sale,Condo/Coop,550 Ortega Ave Unit B419,MOUNTAIN VIEW,CA,94040,898888,2,2.0,MOUNTAIN VIEW,1071,,1992,1,Garage,,Sold,,,,,898888,2015-10-16,1035000.0,http://www.redfin.com/CA/Mountain-View/550-Ortega-Ave-94040/unit-B419/home/12172032,MLSListings Inc. (MLSLI),ML81513651,Keller Williams San Carlos,N,Y,37.399132,-122.1062034,false
Past Sale,Townhouse,143 Margo Dr #6,Mountain View,CA,94041,,2,2.0,94041,1186,,1996,,,,,,,,,,2015-11-24,845100.0,http://www.redfin.com/CA/Mountain-View/143-Margo-Dr-94041/unit-6/home/563942,,,,N,Y,37.384631715,-122.065857,
Past Sale,Townhouse,147 Margo Dr #4,MOUNTAIN VIEW,CA,94041,698000,2,2.0,MOUNTAIN VIEW,1139,,1996,1,Garage,,Sold,,,,,698000,2015-10-29,810009.0,http://www.redfin.com/CA/Mountain-View/147-Margo-Dr-94041/unit-4/home/1114984,MLSListings Inc. (MLSLI),ML81516939,Sereno Group,N,Y,37.384628,-122.065861,false
Past Sale,Condo/Coop,97 Sherland Ave Apt D,Mountain View,CA,94043,,2,1.0,94043,905,,1972,,,,,,,,,,2015-12-23,600000.0,http://www.redfin.com/CA/Mountain-View/97-Sherland-Ave-94043/unit-D/home/621251,,,,N,Y,37.4002768,-122.0625848,
Past Sale,Condo/Coop,184 Darya Ct,Mountain View,CA,94043,,2,2.0,94043,1594,,2008,,,,,,,,,,2015-11-25,955500.0,http://www.redfin.com/CA/Mountain-View/184-Darya-Ct-94043/home/17292071,,,,N,Y,37.389213,-122.056195,
Past Sale,Single Family Residential,1242 Snow St,MOUNTAIN VIEW,CA,94041,1050000,2,2.0,MOUNTAIN VIEW,1040,4199,1962,2,Garage,,Sold,,,,,1050000,2015-11-09,1052500.0,http://www.redfin.com/CA/Mountain-View/1242-Snow-St-94041/home/1560959,MLSListings Inc. (MLSLI),ML81516031,Keller Williams Realty - Cupertino,N,Y,37.3895908,-122.0876485,false
Past Sale,Condo/Coop,255 S Rengstorff Ave Apt 54,Mountain View,CA,94040,,1,1.0,94040,551,,1965,,,,,,,,,,2015-10-20,125000.0,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-54/home/1164026,,,,N,Y,37.399553,-122.098889,
Past Sale,Single Family Residential,643 Mercy St,MOUNTAIN VIEW,CA,94041,1129999,2,1.0,MOUNTAIN VIEW,800,5505,1949,1,Garage,,Sold,,,,,1129999,2015-09-30,1406012.0,http://www.redfin.com/CA/Mountain-View/643-Mercy-St-94041/home/1070276,MLSListings Inc. (MLSLI),ML81470200,Alain Pinel Realtors,N,Y,37.3892425,-122.0796057,false
Past Sale,Townhouse,115 Pacchetti Way,MOUNTAIN VIEW,CA,94040,949500,2,2.5,MOUNTAIN VIEW,1080,758,1996,2,Garage,,Sold,,,,,949500,2015-11-17,965000.0,http://www.redfin.com/CA/Mountain-View/115-Pacchetti-Way-94040/home/12172120,MLSListings Inc. (MLSLI),ML81516855,Green Valley Realty,N,Y,37.4062693,-122.1070474,false
