SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Townhouse,592 San Posadas Ter #21,SUNNYVALE,CA,94085,949888,3,3.0,SUNNYVALE,1620,1082,2011,2,Garage,,Sold,,,,,949888,2016-04-22,1082000,http://www.redfin.com/CA/Sunnyvale/592-San-Posadas-Ter-94085/unit-21/home/41395962,MLSListings Inc. (MLSLI),ML81565458,Redfin,N,Y,37.3873991,-122.0033889,false
Past Sale,Townhouse,980 Belmont Ter #3,SUNNYVALE,CA,94086,868000,3,3.0,SUNNYVALE,1363,644,1986,2,Garage,,Sold,,,,,868000,2016-07-01,910000,http://www.redfin.com/CA/Sunnyvale/980-Belmont-Ter-94086/unit-3/home/868931,MLSListings Inc. (MLSLI),ML81584265,Redfin,N,Y,37.384136,-122.042698,false
Past Sale,Single Family Residential,197 Cirrus Ave,Sunnyvale,CA,94087,,3,2.0,94087,1311,,1956,,,,,,,,,,2016-05-09,1100000,http://www.redfin.com/CA/Sunnyvale/197-Cirrus-Ave-94087/home/664257,,,,Y,Y,37.362718,-122.029518,
Past Sale,Single Family Residential,325 N Murphy Ave,SUNNYVALE,CA,94085,799000,2,1.0,SUNNYVALE,790,5200,1942,1,Garage,,Sold,,,,,799000,2016-04-01,811000,http://www.redfin.com/CA/Sunnyvale/325-N-Murphy-Ave-94085/home/1398124,MLSListings Inc. (MLSLI),ML81549954,Bennion Deville Homes,N,Y,37.384986,-122.027478,false
Past Sale,Single Family Residential,1118 Pecos Way,Sunnyvale,CA,94089,,3,2.0,94089,1108,,1958,,,,,,,,,,2016-01-21,469500,http://www.redfin.com/CA/Sunnyvale/1118-Pecos-Way-94089/home/583118,,,,N,Y,37.397887,-121.994291,
Past Sale,Townhouse,1229 Blackberry Ter,SUNNYVALE,CA,94087,1099000,3,2.0,SUNNYVALE,1374,2744,1973,2,Garage,,Sold,,,,,1099000,2016-08-05,1165000,http://www.redfin.com/CA/Sunnyvale/1229-Blackberry-Ter-94087/home/655700,MLSListings Inc. (MLSLI),ML81594757,Century 21-Alpha,N,Y,37.35493,-122.060103,false
Past Sale,Single Family Residential,1294 W Knickerbocker Dr,Sunnyvale,CA,94087,,3,2.0,94087,1274,,1953,,,,,,,,,,2016-08-03,1250000,http://www.redfin.com/CA/Sunnyvale/1294-W-Knickerbocker-Dr-94087/home/651674,,,,N,Y,37.366916,-122.062975,
Past Sale,Single Family Residential,767 Holbrook Pl,SUNNYVALE,CA,94087,1548000,3,2.0,SUNNYVALE,1362,7627,1963,2,Garage,,Sold,,,,,1548000,2016-08-24,1625000,http://www.redfin.com/CA/Sunnyvale/767-Holbrook-Pl-94087/home/651253,MLSListings Inc. (MLSLI),ML81596109,Sereno Group,N,Y,37.362879,-122.045992,false
Past Sale,Condo/Coop,967 La Mesa Ter Unit B,SUNNYVALE,CA,94086,999000,3,2.5,SUNNYVALE,2082,2374,1985,2,Garage,,Sold,,,,,999000,2016-08-23,1155000,http://www.redfin.com/CA/Sunnyvale/967-La-Mesa-Ter-94086/unit-B/home/941255,MLSListings Inc. (MLSLI),ML81594909,Keller Williams Realty-Silicon Valley,N,Y,37.3855542,-122.0413669,false
Past Sale,Single Family Residential,728 Lois Ave,SUNNYVALE,CA,94087,1489000,3,2.0,SUNNYVALE,1762,6298,1953,1,Garage,,Sold,,,,,1489000,2016-08-11,1480000,http://www.redfin.com/CA/Sunnyvale/728-Lois-Ave-94087/home/653540,MLSListings Inc. (MLSLI),ML81594679,Alain Pinel Realtors,N,Y,37.370216,-122.051823,false
