SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,909 Reed Ave,SUNNYVALE,CA,94086,788000,4,2.0,SUNNYVALE,1659,7200,1968,2,Garage,,Sold,,,,,788000,2016-04-13,890000,http://www.redfin.com/CA/Sunnyvale/909-Reed-Ave-94086/home/1259943,MLSListings Inc. (MLSLI),ML81545369,Properties & Beyond,N,Y,37.3669488,-122.012746,false
Past Sale,Single Family Residential,667 Bend Dr,SUNNYVALE,CA,94087,1695000,4,3.0,SUNNYVALE,1675,8581,1962,2,Garage,,Sold,,,,,1695000,2016-07-15,1625000,http://www.redfin.com/CA/Sunnyvale/667-Bend-Dr-94087/home/550984,MLSListings Inc. (MLSLI),ML81585953,Alain Pinel Realtors,N,Y,37.350899,-122.04075,false
Past Sale,Single Family Residential,898 Lois Ave,SUNNYVALE,CA,94087,1499000,4,2.0,SUNNYVALE,1833,6000,1953,1,Garage,,Sold,,,,,1499000,2016-07-15,1740000,http://www.redfin.com/CA/Sunnyvale/898-Lois-Ave-94087/home/1392882,MLSListings Inc. (MLSLI),ML81589512,Coldwell Banker,Y,Y,37.36425,-122.053389,false
Past Sale,Single Family Residential,681 Torrington Dr,SUNNYVALE,CA,94087,1785000,4,2.0,SUNNYVALE,1755,7875,1959,2,Garage,,Sold,,,,,1785000,2016-08-19,1720000,http://www.redfin.com/CA/Sunnyvale/681-Torrington-Dr-94087/home/821973,MLSListings Inc. (MLSLI),ML81594259,Intero Real Estate Services,N,Y,37.356073,-122.040334,false
Past Sale,Single Family Residential,280 S Mary Ave,SUNNYVALE,CA,94086,1388000,4,3.5,SUNNYVALE,1906,7424,1970,2,Garage,,Sold,,,,,1388000,2016-08-12,1505000,http://www.redfin.com/CA/Sunnyvale/280-S-Mary-Ave-94086/home/1246424,MLSListings Inc. (MLSLI),ML81594652,Dreyfus Sotheby's International Realty,N,Y,37.377562,-122.046194,false
Past Sale,Single Family Residential,648 Boise Ct,SUNNYVALE,CA,94087,1648000,4,3.0,SUNNYVALE,1675,8580,1962,2,Garage,,Sold,,,,,1648000,2016-08-12,1580000,http://www.redfin.com/CA/Sunnyvale/648-Boise-Ct-94087/home/769137,MLSListings Inc. (MLSLI),ML81591865,Keller Williams Realty-Silicon Valley,N,Y,37.3497005,-122.0399755,false
Past Sale,Townhouse,774 Danforth Ter,SUNNYVALE,CA,94087,999995,4,2.5,SUNNYVALE,1940,1981,1977,2,Garage,,Sold,,,,,999995,2016-08-23,1215000,http://www.redfin.com/CA/Sunnyvale/774-Danforth-Ter-94087/home/1628379,MLSListings Inc. (MLSLI),ML81597291,Intero Real Estate Services,N,Y,37.367128,-122.040038,false
Past Sale,Single Family Residential,1536 Oriole Ave,Sunnyvale,CA,94087,,4,2.0,94087,1664,,1963,,,,,,,,,,2016-06-28,1450000,http://www.redfin.com/CA/Sunnyvale/1536-Oriole-Ave-94087/home/783953,,,,N,Y,37.343558,-122.009788,
Past Sale,Single Family Residential,1271 Prescott Ave,SUNNYVALE,CA,94089,898000,4,2.0,SUNNYVALE,1468,5671,1958,0,,,Sold,,,,,898000,2016-07-05,995000,http://www.redfin.com/CA/Sunnyvale/1271-Prescott-Ave-94089/home/1353781,MLSListings Inc. (MLSLI),ML81585886,Trancore Estates Inc,N,Y,37.398569,-121.988703,false
Past Sale,Single Family Residential,3751 Vireo Ave,SANTA CLARA,CA,95051,1655000,4,2.5,SANTA CLARA,2268,4100,1994,2,Garage,,Sold,,,,,1599000,2016-08-05,1570000,http://www.redfin.com/CA/Santa-Clara/3751-Vireo-Ave-95051/home/763011,MLSListings Inc. (MLSLI),ML81591217,Intero Real Estate Services,N,Y,37.3416745,-121.998825,false
