SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,810 Keith Ln,SANTA CLARA,CA,95054,849800,3,2.0,SANTA CLARA,1207,7200,1961,2,Garage,,Sold,,,,,849800,2016-06-27,872000,http://www.redfin.com/CA/Santa-Clara/810-Keith-Ln-95054/home/2120154,MLSListings Inc. (MLSLI),ML81584623,Redfin,N,Y,37.385572,-121.948153,false
Past Sale,Condo/Coop,1031 Clyde Ave #704,SANTA CLARA,CA,95054,550000,3,2.0,SANTA CLARA,1266,1208,1979,1,Garage,,Sold,,,,,550000,2016-06-28,550000,http://www.redfin.com/CA/Santa-Clara/1031-Clyde-Ave-95054/unit-704/home/12171214,MLSListings Inc. (MLSLI),ML81520773,Cristina Martinez Company,N,Y,37.38823,-121.952953,false
Past Sale,Condo/Coop,1883 Agnew Rd #334,SANTA CLARA,CA,95054,715000,2,2.0,SANTA CLARA,1152,1307,2006,2,Garage,,Sold,,,,,715000,2016-06-27,730000,http://www.redfin.com/CA/Santa-Clara/1883-Agnew-Rd-95054/unit-334/home/12179317,MLSListings Inc. (MLSLI),ML81586696,Coldwell Banker,N,Y,37.3959733,-121.9584212,false
Past Sale,Townhouse,901 Cole Pl,SANTA CLARA,CA,95054,1148000,3,2.5,SANTA CLARA,1700,1197,2003,2,Garage,,Sold,,,,,1148000,2016-06-28,1175000,http://www.redfin.com/CA/Santa-Clara/901-Cole-Pl-95054/home/645468,MLSListings Inc. (MLSLI),ML81583186,Century 21 M&M and Associates,N,Y,37.396286,-121.949267,false
Past Sale,Single Family Residential,4186 Marston Ln,SANTA CLARA,CA,95054,1368800,4,2.5,SANTA CLARA,1754,3123,2002,2,Garage,,Sold,,,,,1368800,2016-06-30,1426000,http://www.redfin.com/CA/Santa-Clara/4186-Marston-Ln-95054/home/1289053,MLSListings Inc. (MLSLI),ML81584520,Century 21 M&M and Associates,N,Y,37.39731,-121.949104,false
Past Sale,Condo/Coop,1031 Clyde Ave #1504,SANTA CLARA,CA,95054,579950,3,2.0,SANTA CLARA,1266,2944,1979,1,Garage,,Sold,,,,,579950,2016-06-28,585000,http://www.redfin.com/CA/Santa-Clara/1031-Clyde-Ave-95054/unit-1504/home/12171231,MLSListings Inc. (MLSLI),ML81585422,Cristina Martinez Company,N,Y,37.38823,-121.952953,false
Past Sale,Condo/Coop,1883 Agnew Rd #348,SANTA CLARA,CA,95054,675000,2,2.0,SANTA CLARA,1070,435,2006,2,Garage,,Sold,,,,,675000,2016-07-19,752000,http://www.redfin.com/CA/Santa-Clara/1883-Agnew-Rd-95054/unit-348/home/12179326,MLSListings Inc. (MLSLI),ML81587539,Platinum Realty,N,Y,37.3959733,-121.9584212,false
Past Sale,Townhouse,4469 Headen Way,Santa Clara,CA,95054,,2,2.0,95054,1464,,2003,,,,,,,,,,2016-08-04,970000,http://www.redfin.com/CA/Santa-Clara/4469-Headen-Way-95054/home/1448804,,,,N,Y,37.399352,-121.953883,
Past Sale,Condo/Coop,1883 Agnew Rd #363,SANTA CLARA,CA,95054,799900,3,2.0,SANTA CLARA,1361,435,2006,2,Garage,,Sold,,,,,799900,2016-08-05,851000,http://www.redfin.com/CA/Santa-Clara/1883-Agnew-Rd-95054/unit-363/home/12179340,MLSListings Inc. (MLSLI),ML81591467,KW Bay Area Estates,N,Y,37.3959733,-121.9584212,false
Past Sale,Townhouse,1520 Avina Cir #7,SANTA CLARA,CA,95054,968800,3,3.5,SANTA CLARA,1845,1742,2009,2,Garage,,Sold,,,,,968800,2016-08-09,975000,http://www.redfin.com/CA/Santa-Clara/1520-Avina-Cir-95054/unit-7/home/28676355,MLSListings Inc. (MLSLI),ML81589510,Century 21 M&M and Associates,N,Y,37.396122,-121.957504,false
Past Sale,Single Family Residential,906 Hargis Way,SANTA CLARA,CA,95054,1488000,4,3.5,SANTA CLARA,2083,3060,2003,2,Garage,,Sold,,,,,1488000,2016-08-10,1625000,http://www.redfin.com/CA/Santa-Clara/906-Hargis-Way-95054/home/1631275,MLSListings Inc. (MLSLI),ML81591853,Century 21 M&M and Associates,N,Y,37.398297,-121.949737,false
Past Sale,Single Family Residential,4113 Tobin Cir,SANTA CLARA,CA,95054,1179000,3,3.0,SANTA CLARA,1590,2042,2003,2,Garage,,Sold,,,,,1179000,2016-08-11,1200000,http://www.redfin.com/CA/Santa-Clara/4113-Tobin-Cir-95054/home/791620,MLSListings Inc. (MLSLI),ML81589424,Intero Real Estate Services- Santa Clara,N,Y,37.3958944,-121.9503784,false
Past Sale,Townhouse,1585 Agnew Rd #3,SANTA CLARA,CA,95054,899000,3,3.5,SANTA CLARA,1645,1742,2009,2,Garage,,Sold,,,,,899000,2016-08-08,920000,http://www.redfin.com/CA/Santa-Clara/1585-Agnew-Rd-95054/unit-3/home/28894888,MLSListings Inc. (MLSLI),ML81592698,Equity One Real Estate,N,Y,37.3959838,-121.9565924,false
Past Sale,Single Family Residential,2387 Lass Dr,SANTA CLARA,CA,95054,1199000,4,2.5,SANTA CLARA,1922,3541,1997,2,Garage,,Sold,,,,,1199000,2016-07-06,1200000,http://www.redfin.com/CA/Santa-Clara/2387-Lass-Dr-95054/home/1527441,MLSListings Inc. (MLSLI),ML81584975,Realty World- South County,N,Y,37.39966,-121.966864,false
Past Sale,Single Family Residential,2164 Esperanca Ave,SANTA CLARA,CA,95054,899000,3,2.5,SANTA CLARA,1400,2257,2000,2,Garage,,Sold,,,,,899000,2016-07-05,905000,http://www.redfin.com/CA/Santa-Clara/2164-Esperanca-Ave-95054/home/1408471,MLSListings Inc. (MLSLI),ML81587888,Green Valley Realty USA,N,Y,37.398234,-121.96266,false
Past Sale,Single Family Residential,4564 Cheeney St,SANTA CLARA,CA,95054,928800,3,2.5,SANTA CLARA,1589,2182,2000,2,Garage,,Sold,,,,,928800,2016-08-19,945000,http://www.redfin.com/CA/Santa-Clara/4564-Cheeney-St-95054/home/1035280,MLSListings Inc. (MLSLI),ML81594934,Century 21 M&M and Associates,N,Y,37.397515,-121.963763,false
