SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Condo/Coop,952 Kiely Blvd Unit J,SANTA CLARA,CA,95051,478000,2,2.0,SANTA CLARA,956,1019,1971,1,Garage,,Sold,,,,,478000,2016-03-24,500000,http://www.redfin.com/CA/Santa-Clara/952-Kiely-Blvd-95051/unit-J/home/846576,MLSListings Inc. (MLSLI),ML81550989,Redfin,N,Y,37.3419039,-121.9801619,false
Past Sale,Townhouse,3615 Brach Way,SANTA CLARA,CA,95051,924999,2,2.5,SANTA CLARA,1803,1750,1978,2,Garage,,Sold,,,,,924999,2016-05-31,960000,http://www.redfin.com/CA/Santa-Clara/3615-Brach-Way-95051/home/1150166,MLSListings Inc. (MLSLI),ML81582421,Redfin,N,Y,37.349675,-121.996602,false
Past Sale,Condo/Coop,150 Saratoga Ave Unit 304,Santa Clara,CA,95051,,2,2.0,95051,1028,,1969,,,,,,,,,,2016-06-10,596000,http://www.redfin.com/CA/Santa-Clara/150-Saratoga-Ave-95051/unit-304/home/1515400,,,,N,Y,37.327074,-121.9696,
Past Sale,Condo/Coop,4681 Albany Cir #107,SAN JOSE,CA,95129,729000,2,2.0,SAN JOSE,1310,1799,1982,2,Garage,,Sold,,,,,729000,2016-08-23,755000,http://www.redfin.com/CA/San-Jose/4681-Albany-Cir-95129/unit-107/home/746085,MLSListings Inc. (MLSLI),ML81596253,Sereno Group,N,Y,37.321586,-121.985024,false
Past Sale,Condo/Coop,3705 Terstena Pl #104,SANTA CLARA,CA,95051,649000,2,2.0,SANTA CLARA,1268,1398,1982,2,Garage,,Sold,,,,,649000,2016-06-27,675000,http://www.redfin.com/CA/Santa-Clara/3705-Terstena-Pl-95051/unit-104/home/964559,MLSListings Inc. (MLSLI),ML81584832,Century 21 M&M and Associates,N,Y,37.357878,-121.998507,false
Past Sale,Condo/Coop,1904 Miraplaza Ct Apt 23,Santa Clara,CA,95051,,2,2.0,95051,1041,,1986,,,,,,,,,,2016-06-30,200500,http://www.redfin.com/CA/Santa-Clara/1904-Miraplaza-Ct-95051/unit-23/home/669471,,,,N,Y,37.357193,-121.998396,
Past Sale,Condo/Coop,1750 Halford Ave #207,SANTA CLARA,CA,95051,519000,2,2.0,SANTA CLARA,1032,1555,1970,0,,,Sold,,,,2016-06-30,525000,2016-08-15,530000,http://www.redfin.com/CA/Santa-Clara/1750-Halford-Ave-95051/unit-207/home/1685060,MLSListings Inc. (MLSLI),ML81590222,Alain Pinel Realtors,N,Y,37.3557149,-121.998715,false
Past Sale,Condo/Coop,1037 Alta Mira Dr Unit A,SANTA CLARA,CA,95051,589999,2,2.0,SANTA CLARA,1067,1768,1971,0,,,Sold,,,,,589999,2016-09-02,575000,http://www.redfin.com/CA/Santa-Clara/1037-Alta-Mira-Dr-95051/unit-A/home/1382102,MLSListings Inc. (MLSLI),ML81583707,"Gary G. Gillmor, Broker",N,Y,37.346173,-121.993413,false
Past Sale,Condo/Coop,2601 Cortez Dr #3205,SANTA CLARA,CA,95051,449999,2,1.0,SANTA CLARA,780,710,1972,1,Garage,,Sold,,,,,449999,2016-06-30,475000,http://www.redfin.com/CA/Santa-Clara/2601-Cortez-Dr-95051/unit-3205/home/22733192,MLSListings Inc. (MLSLI),ML81580960,NewVision Realty Group,N,Y,37.3689816,-121.9747624,false
Past Sale,Condo/Coop,3029 Kaiser Dr Unit F,SANTA CLARA,CA,95051,549000,2,1.5,SANTA CLARA,1097,544,1971,0,,,Sold,,,,,549000,2016-06-26,570000,http://www.redfin.com/CA/Santa-Clara/3029-Kaiser-Dr-95051/unit-F/home/740572,MLSListings Inc. (MLSLI),ML81586552,Mirabella Properties,N,Y,37.3435072,-121.9832952,false
